Group,Team,1st %,2nd %,3rd(Q) %,3rd(out) %,4th %,Qualify %,R32 %,R16 %,QF %,SF %,3rd Place %,Final %,Champion %
A,Mexico,50.3,29.0,12.1,3.0,5.6,91.4,91.4,54.9,20.5,7.4,2.0,1.8,0.3
A,South Korea,22.5,29.3,18.7,7.1,22.4,70.5,70.5,30.3,8.4,1.8,0.3,0.3,0.0
A,Czech Republic,19.4,28.2,19.7,9.1,23.6,67.3,67.3,31.5,10.0,2.3,0.3,0.5,0.1
A,South Africa,7.8,13.5,18.5,11.8,48.4,39.8,39.8,9.8,1.7,0.2,0.0,0.0,0.0
B,Switzerland,56.6,28.4,9.5,2.4,3.1,94.5,94.5,57.9,21.7,6.5,1.3,2.4,0.5
B,Canada,30.8,40.9,16.5,5.3,6.5,88.2,88.2,42.1,15.0,3.9,0.9,0.7,0.1
B,Bosnia and Herzegovina,10.3,24.7,32.1,12.0,20.9,67.1,67.1,17.5,1.9,0.1,0.1,0.0,0.0
B,Qatar,2.3,6.0,12.3,9.9,69.5,20.6,20.6,2.4,0.1,0.0,0.0,0.0,0.0
C,Brazil,75.5,19.4,4.0,0.3,0.8,98.9,98.9,73.0,47.6,27.1,7.7,14.0,6.5
C,Morocco,16.8,47.8,22.8,5.9,6.7,87.4,87.4,42.7,23.0,8.5,2.0,2.8,0.8
C,Scotland,7.4,29.0,35.0,15.6,13.0,71.4,71.4,27.3,9.3,1.8,0.4,0.8,0.2
C,Haiti,0.3,3.8,6.3,10.1,79.5,10.4,10.4,1.4,0.3,0.1,0.0,0.0,0.0
D,USA,38.9,28.5,14.2,4.7,13.7,81.6,81.6,50.6,20.1,6.9,1.7,1.8,0.2
D,Turkey,32.2,31.0,17.7,4.3,14.8,80.9,80.9,49.8,20.2,7.0,1.9,2.5,0.7
D,Paraguay,19.0,22.3,24.3,7.5,26.9,65.6,65.6,32.6,11.4,3.2,0.5,0.7,0.0
D,Australia,9.9,18.2,18.4,8.9,44.6,46.5,46.5,18.5,5.5,1.7,0.1,0.5,0.1
E,Germany,69.0,21.6,7.9,0.4,1.1,98.5,98.5,67.8,32.8,22.0,6.7,8.4,4.2
E,Ecuador,18.5,40.5,28.0,7.5,5.5,87.0,87.0,39.9,15.4,6.4,1.7,2.1,0.5
E,Ivory Coast,12.0,35.0,33.3,11.0,8.7,80.3,80.3,27.8,7.5,2.1,0.3,0.9,0.0
E,Curacao,0.5,2.9,4.6,7.3,84.7,8.0,8.0,1.1,0.1,0.0,0.0,0.0,0.0
F,Netherlands,50.6,28.6,11.1,2.0,7.7,90.3,90.3,48.9,32.7,14.5,4.0,6.3,2.3
F,Japan,28.4,29.8,20.9,6.3,14.6,79.1,79.1,27.9,13.8,5.1,1.2,1.8,0.6
F,Sweden,14.4,25.3,23.3,10.0,27.0,63.0,63.0,15.9,5.5,1.4,0.3,0.3,0.0
F,Tunisia,6.6,16.3,16.6,9.8,50.7,39.5,39.5,6.0,1.4,0.1,0.0,0.0,0.0
G,Belgium,64.7,23.4,7.2,1.1,3.6,95.3,95.3,65.9,37.3,13.0,3.6,5.6,1.6
G,Egypt,19.0,35.9,19.9,8.9,16.3,74.8,74.8,29.3,8.4,1.8,0.3,0.5,0.0
G,Iran,12.3,27.8,24.5,12.2,23.2,64.6,64.6,20.2,4.0,0.5,0.0,0.1,0.0
G,New Zealand,4.0,12.9,12.2,14.0,56.9,29.1,29.1,6.8,1.3,0.2,0.0,0.0,0.0
H,Spain,77.3,19.6,2.2,0.2,0.7,99.1,99.1,73.1,55.4,44.0,7.8,32.8,22.4
H,Uruguay,19.2,59.2,11.1,4.0,6.5,89.5,89.5,36.0,19.5,8.2,2.0,2.8,1.1
H,Cape Verde,1.7,10.0,18.8,22.9,46.6,30.5,30.5,6.2,1.3,0.1,0.0,0.0,0.0
H,Saudi Arabia,1.8,11.2,17.2,23.6,46.2,30.2,30.2,4.7,0.4,0.0,0.0,0.0,0.0
I,France,63.6,25.9,8.5,0.7,1.3,98.0,98.0,82.4,59.5,44.8,12.0,26.3,17.3
I,Norway,25.7,40.4,22.9,6.5,4.5,89.0,89.0,57.2,31.8,15.9,3.6,8.4,3.5
I,Senegal,10.0,29.7,33.0,12.7,14.6,72.7,72.7,37.9,17.2,7.5,2.3,2.5,0.8
I,Iraq,0.7,4.0,7.3,8.4,79.6,12.0,12.0,2.8,0.4,0.0,0.0,0.0,0.0
J,Argentina,68.0,22.1,8.1,0.7,1.1,98.2,98.2,69.3,55.3,40.4,10.9,25.4,13.8
J,Austria,19.7,42.7,21.2,7.1,9.3,83.6,83.6,35.5,18.2,8.2,1.6,2.4,0.2
J,Algeria,10.9,28.0,28.6,13.2,19.3,67.5,67.5,23.3,9.1,2.4,0.4,1.0,0.1
J,Jordan,1.4,7.2,9.5,11.6,70.3,18.1,18.1,3.9,1.0,0.2,0.2,0.0,0.0
K,Portugal,58.8,30.5,6.6,1.4,2.7,95.9,95.9,72.3,50.6,29.2,6.9,18.5,10.4
K,Colombia,34.2,44.5,11.3,4.2,5.8,90.0,90.0,57.2,31.4,17.7,5.7,6.9,3.0
K,DR Congo,3.8,13.9,18.0,20.0,44.3,35.7,35.7,9.7,2.8,0.3,0.0,0.2,0.0
K,Uzbekistan,3.2,11.1,20.3,18.2,47.2,34.6,34.6,8.3,2.7,0.5,0.1,0.1,0.1
L,England,66.5,22.4,7.7,1.1,2.3,96.6,96.6,66.1,46.0,27.5,7.1,15.9,8.2
L,Croatia,23.9,45.9,13.8,6.2,10.2,83.6,83.6,39.7,17.1,7.1,2.1,2.0,0.4
L,Ghana,6.3,20.7,26.7,13.5,32.8,53.7,53.7,10.2,2.4,0.2,0.0,0.0,0.0
L,Panama,3.3,11.0,15.6,15.4,54.7,29.9,29.9,4.4,1.0,0.2,0.0,0.0,0.0
